Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Acceptance Criteria),Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Atlassian Project),Custom field (Atlassian project),Custom field (Atlassian project status),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Comments),Custom field (Confidence),Custom field (Control Cadence),Custom field (Decision Date),Custom field (Decision ID),Custom field (Decision Outcome),Custom field (Decision Questions),Custom field (Decision Rationale),Custom field (Decision Status),Custom field (Definition Status),Custom field (Delivery progress),Custom field (Delivery status),Custom field (Dependency Notes),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Evidence Required),Custom field (Exclusions),Custom field (External issue ID),Custom field (Focus Areas),Custom field (Gate ID),Custom field (Gate Status),Custom field (Goals),Custom field (Idea archived),Custom field (Idea archived on),Custom field (Impact),Custom field (Insights),Custom field (Issue color),Custom field (Linked items),Custom field (Locked forms),Custom field (Open forms),Custom field (Options Considered),Custom field (Parent WBS ID),Custom field (Planning Notes),Custom field (Project overview key),Custom field (Project overview status),Custom field (Purpose),Custom field (Rank),Custom field (Request Type),Custom field (Required Evidence),Custom field (Required Inputs),Custom field (Required Outputs),Custom field (Risk Level),Custom field (Scope),Custom field (Sentiment),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Unlocks WBS IDs),Custom field (Vulnerability),Custom field (WBS ID),Custom field (Work item created forms),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Integrated Project Schedule,SS-256,10274,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,"Create and maintain the time-phased plan, dependencies and forecast for the programme.",,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,Every child work package is accepted and the combined output satisfies the stated purpose.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,Weekly,,,,,,,Defined,,,,{},,,,,Work owned by sibling deliverables and technical implementation outside project management.,30011,,,,,,,,,,,,,,PM-PLN,Deliverable-level control item; completion is based on accepted child work packages.,,,"Create and maintain the time-phased plan, dependencies and forecast for the programme.",0|i0005j:,,Accepted child work packages and deliverable-level review evidence.,"Parent-domain requirements, applicable project records and outputs from prerequisite work packages.",An accepted integrated project schedule deliverable.,Medium,"The deliverable comprises the following work packages: Establish Schedule Baseline, Maintain Schedule and Forecast.",,,,,,,,,,,,PM-PLN-SCH,,,,10266,SS-248,Integrated Planning and Scheduling,To Do,23/Jun/26 12:28 AM
Rolling-Wave Planning,SS-257,10275,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,Refine near-term work in detail while preserving provisional future scope.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,Every child work package is accepted and the combined output satisfies the stated purpose.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,Weekly,,,,,,,Defined,,,,{},,,,,Work owned by sibling deliverables and technical implementation outside project management.,30012,,,,,,,,,,,,,,PM-PLN,Deliverable-level control item; completion is based on accepted child work packages.,,,Refine near-term work in detail while preserving provisional future scope.,0|i0005r:,,Accepted child work packages and deliverable-level review evidence.,"Parent-domain requirements, applicable project records and outputs from prerequisite work packages.",An accepted rolling-wave planning deliverable.,Medium,"The deliverable comprises the following work packages: Establish Planning Cadence, Refine Near-Term Work.",,,,,,,,,,,,PM-PLN-RWP,,,,10266,SS-248,Integrated Planning and Scheduling,To Do,23/Jun/26 12:28 AM
Delivery-Flow Control,SS-258,10276,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,"Define and operate the rules governing work readiness, active work and completion.",,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,Every child work package is accepted and the combined output satisfies the stated purpose.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,Weekly,,,,,,,Defined,,,,{},,,,,Work owned by sibling deliverables and technical implementation outside project management.,30013,,,,,,,,,,,,,,PM-CTL,Deliverable-level control item; completion is based on accepted child work packages.,,,"Define and operate the rules governing work readiness, active work and completion.",0|i0005z:,,Accepted child work packages and deliverable-level review evidence.,"Parent-domain requirements, applicable project records and outputs from prerequisite work packages.",An accepted delivery-flow control deliverable.,Medium,"The deliverable comprises the following work packages: Establish Delivery Rules, Operate Active-Work Control.",,,,,,,,,,,,PM-CTL-FLW,,,,10267,SS-249,Delivery and Change Control,To Do,23/Jun/26 12:28 AM
Change and Baseline Control,SS-259,10277,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,"Ensure changes affecting scope, schedule, architecture or baselines are assessed and authorised.",,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,Every child work package is accepted and the combined output satisfies the stated purpose.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,Weekly,,,,,,,Defined,,,,{},,,,,Work owned by sibling deliverables and technical implementation outside project management.,30014,,,,,,,,,,,,,,PM-CTL,Deliverable-level control item; completion is based on accepted child work packages.,,,"Ensure changes affecting scope, schedule, architecture or baselines are assessed and authorised.",0|i00067:,,Accepted child work packages and deliverable-level review evidence.,"Parent-domain requirements, applicable project records and outputs from prerequisite work packages.",An accepted change and baseline control deliverable.,Medium,"The deliverable comprises the following work packages: Establish Change-Control System, Operate Change Control.",,,,,,,,,,,,PM-CTL-CHG,,,,10267,SS-249,Delivery and Change Control,To Do,23/Jun/26 12:28 AM
Risk Management,SS-260,10278,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,"Establish and operate a consistent process for identifying, assessing and treating project risks.",,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,Every child work package is accepted and the combined output satisfies the stated purpose.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,Weekly,,,,,,,Defined,,,,{},,,,,Work owned by sibling deliverables and technical implementation outside project management.,30015,,,,,,,,,,,,,,PM-RID,Deliverable-level control item; completion is based on accepted child work packages.,,,"Establish and operate a consistent process for identifying, assessing and treating project risks.",0|i0006f:,,Accepted child work packages and deliverable-level review evidence.,"Parent-domain requirements, applicable project records and outputs from prerequisite work packages.",An accepted risk management deliverable.,Medium,"The deliverable comprises the following work packages: Establish Risk-Control System, Monitor and Treat Risks.",,,,,,,,,,,,PM-RID-RSK,,,,10268,SS-250,"Risk, Issue and Dependency Control",To Do,23/Jun/26 12:28 AM
Issue and Impediment Management,SS-261,10279,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,23/Jun/26 10:40 AM,,,0,Establish and operate a rapid process for resolving active problems that obstruct delivery.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,Every child work package is accepted and the combined output satisfies the stated purpose.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,Weekly,,,,,,,Defined,,,,{},,,,,Work owned by sibling deliverables and technical implementation outside project management.,30016,,,,,,,,,,,,,,PM-RID,Deliverable-level control item; completion is based on accepted child work packages.,,,Establish and operate a rapid process for resolving active problems that obstruct delivery.,0|i0006n:,,Accepted child work packages and deliverable-level review evidence.,"Parent-domain requirements, applicable project records and outputs from prerequisite work packages.",An accepted issue and impediment management deliverable.,Medium,"The deliverable comprises the following work packages: Establish Issue-Control System, Resolve Issues and Impediments.",,,,,,,,,,,,PM-RID-ISS,,,,10268,SS-250,"Risk, Issue and Dependency Control",To Do,23/Jun/26 12:28 AM
Dependency Management,SS-262,10280,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,Establish and maintain the dependency network needed to sequence work and expose blockers.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,Every child work package is accepted and the combined output satisfies the stated purpose.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,Weekly,,,,,,,Defined,,,,{},,,,,Work owned by sibling deliverables and technical implementation outside project management.,30017,,,,,,,,,,,,,,PM-RID,Deliverable-level control item; completion is based on accepted child work packages.,,,Establish and maintain the dependency network needed to sequence work and expose blockers.,0|i0006v:,,Accepted child work packages and deliverable-level review evidence.,"Parent-domain requirements, applicable project records and outputs from prerequisite work packages.",An accepted dependency management deliverable.,Medium,"The deliverable comprises the following work packages: Establish Dependency Network, Monitor Dependencies.",,,,,,,,,,,,PM-RID-DEP,,,,10268,SS-250,"Risk, Issue and Dependency Control",To Do,23/Jun/26 12:28 AM
Progress Monitoring and Forecasting,SS-263,10281,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,Establish and operate a concise performance-measurement and forecasting process.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,Every child work package is accepted and the combined output satisfies the stated purpose.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,Weekly,,,,,,,Defined,,,,{},,,,,Work owned by sibling deliverables and technical implementation outside project management.,30018,,,,,,,,,,,,,,PM-PER,Deliverable-level control item; completion is based on accepted child work packages.,,,Establish and operate a concise performance-measurement and forecasting process.,0|i00073:,,Accepted child work packages and deliverable-level review evidence.,"Parent-domain requirements, applicable project records and outputs from prerequisite work packages.",An accepted progress monitoring and forecasting deliverable.,Medium,"The deliverable comprises the following work packages: Establish Measurement System, Review Progress and Forecast.",,,,,,,,,,,,PM-PER-MON,,,,10269,SS-251,"Performance, Assurance and Improvement",To Do,23/Jun/26 12:28 AM
Delivery Assurance,SS-264,10282,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,"Define and apply evidence-based checks for completion, review and milestone readiness.",,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,Every child work package is accepted and the combined output satisfies the stated purpose.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,Weekly,,,,,,,Defined,,,,{},,,,,Work owned by sibling deliverables and technical implementation outside project management.,30019,,,,,,,,,,,,,,PM-PER,Deliverable-level control item; completion is based on accepted child work packages.,,,"Define and apply evidence-based checks for completion, review and milestone readiness.",0|i0007b:,,Accepted child work packages and deliverable-level review evidence.,"Parent-domain requirements, applicable project records and outputs from prerequisite work packages.",An accepted delivery assurance deliverable.,Medium,"The deliverable comprises the following work packages: Establish Assurance Rules, Conduct Assurance Reviews.",,,,,,,,,,,,PM-PER-ASS,,,,10269,SS-251,"Performance, Assurance and Improvement",To Do,23/Jun/26 12:28 AM
Continuous Improvement,SS-265,10283,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,Establish and operate a disciplined feedback loop for improving project delivery.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,Every child work package is accepted and the combined output satisfies the stated purpose.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,Weekly,,,,,,,Defined,,,,{},,,,,Work owned by sibling deliverables and technical implementation outside project management.,30020,,,,,,,,,,,,,,PM-PER,Deliverable-level control item; completion is based on accepted child work packages.,,,Establish and operate a disciplined feedback loop for improving project delivery.,0|i0007j:,,Accepted child work packages and deliverable-level review evidence.,"Parent-domain requirements, applicable project records and outputs from prerequisite work packages.",An accepted continuous improvement deliverable.,Medium,"The deliverable comprises the following work packages: Establish Improvement System, Operate Continuous Improvement.",,,,,,,,,,,,PM-PER-IMP,,,,10269,SS-251,"Performance, Assurance and Improvement",To Do,23/Jun/26 12:28 AM
Completion and Acceptance,SS-266,10284,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,Verify that required deliverables are complete and record formal project closure.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,Every child work package is accepted and the combined output satisfies the stated purpose.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,Weekly,,,,,,,Defined,,,,{},,,,,Work owned by sibling deliverables and technical implementation outside project management.,30021,,,,,,,,,,,,,,PM-CLS,Deliverable-level control item; completion is based on accepted child work packages.,,,Verify that required deliverables are complete and record formal project closure.,0|i0007r:,,Accepted child work packages and deliverable-level review evidence.,"Parent-domain requirements, applicable project records and outputs from prerequisite work packages.",An accepted completion and acceptance deliverable.,Medium,"The deliverable comprises the following work packages: Verify Project Completion, Approve Project Closure.",,,,,,,,,,,,PM-CLS-ACC,,,,10270,SS-252,Project Closure,To Do,23/Jun/26 12:28 AM
Two-Page Project Closure Report,SS-267,10285,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,"Produce a concise two-page report that records the project outcome, principal lessons and residual recommendations.",,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,Every child work package is accepted and the combined output satisfies the stated purpose.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,Weekly,,,,,,,Defined,,,,{},,,,,Work owned by sibling deliverables and technical implementation outside project management.,30022,,,,,,,,,,,,,,PM-CLS,Deliverable-level control item; completion is based on accepted child work packages.,,,"Produce a concise two-page report that records the project outcome, principal lessons and residual recommendations.",0|i0007z:,,Accepted child work packages and deliverable-level review evidence.,"Parent-domain requirements, applicable project records and outputs from prerequisite work packages.",An accepted two-page project closure report deliverable.,Medium,The deliverable comprises the following work packages: Produce Two-Page Project Closure Report.,,,,,,,,,,,,PM-CLS-REC,,,,10270,SS-252,Project Closure,To Do,23/Jun/26 12:28 AM
Establish Decision-Control System,SS-268,10286,Work Package,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,Deliver the controlled work required to establish decision-control system.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,The child executable item satisfies its acceptance criteria and its evidence is reviewed.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,,{},,,,,Work assigned to sibling work packages or unrelated technical implementation.,30023,,,,,,,,,,,,,,PM-DEC-CTL,Execution pattern: Setup. This work package closes when its child item is accepted.,,,Deliver the controlled work required to establish decision-control system.,0|i00087:,,"Decision-control procedure, configured Jira fields and reviewed example decision record.",Parent-deliverable requirements and any prerequisite outputs identified by the executable task.,A documented decision-control procedure and configured decision register.,Low,Includes the executable item: Define decision criteria and configure decision register.,,,,,,,,,,,,PM-DEC-CTL-01,,,,10271,SS-253,Decision Management,To Do,23/Jun/26 12:28 AM
Operate Decision Control,SS-269,10287,Work Package,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,Deliver the controlled work required to operate decision control.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,The child executable item satisfies its acceptance criteria and its evidence is reviewed.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,Medium,Weekly,,,,,,,Defined,,,,{},,,,,Work assigned to sibling work packages or unrelated technical implementation.,30024,,,,,,,,,,,,,,PM-DEC-CTL,Execution pattern: Recurring. This work package closes when its child item is accepted.,,,Deliver the controlled work required to operate decision control.,0|i0008f:,,"Updated decision register, linked evidence and corresponding WBS or task updates.",Parent-deliverable requirements and any prerequisite outputs identified by the executable task.,"Current decision records with explicit outcomes, rationale and implementation actions.",Medium,"Includes the executable item: Assess, record and implement significant decisions.",,,,,,,,,,,,PM-DEC-CTL-02,,,,10271,SS-253,Decision Management,To Do,23/Jun/26 12:28 AM
Establish Gate-Control System,SS-270,10288,Work Package,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,Deliver the controlled work required to establish gate-control system.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,The child executable item satisfies its acceptance criteria and its evidence is reviewed.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,,{},,,,,Work assigned to sibling work packages or unrelated technical implementation.,30025,,,,,,,,,,,,,,PM-DEC-GAT,Execution pattern: Setup. This work package closes when its child item is accepted.,,,Deliver the controlled work required to establish gate-control system.,0|i0008n:,,"Gate-control procedure, configured Jira fields and reviewed example gate record.",Parent-deliverable requirements and any prerequisite outputs identified by the executable task.,A documented gate-control procedure and configured gate register.,Low,Includes the executable item: Define gate rules and configure gate register.,,,,,,,,,,,,PM-DEC-GAT-01,,,,10272,SS-254,Decision-Gate Management,To Do,23/Jun/26 12:28 AM
Operate Decision Gates,SS-271,10289,Work Package,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,Deliver the controlled work required to operate decision gates.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,The child executable item satisfies its acceptance criteria and its evidence is reviewed.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,Medium,Weekly,,,,,,,Defined,,,,{},,,,,Work assigned to sibling work packages or unrelated technical implementation.,30026,,,,,,,,,,,,,,PM-DEC-GAT,Execution pattern: Recurring. This work package closes when its child item is accepted.,,,Deliver the controlled work required to operate decision gates.,0|i0008v:,,"Gate review records, evidence references and updated readiness states.",Parent-deliverable requirements and any prerequisite outputs identified by the executable task.,"Approved, rejected or deferred gate records with corresponding updates to dependent work.",Medium,"Includes the executable item: Prepare, review and resolve project decision gates.",,,,,,,,,,,,PM-DEC-GAT-02,,,,10272,SS-254,Decision-Gate Management,To Do,23/Jun/26 12:28 AM
Establish WBS Method and Environment,SS-272,10290,Work Package,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,Deliver the controlled work required to establish wbs method and environment.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,The child executable item satisfies its acceptance criteria and its evidence is reviewed.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,,{},,,,,Work assigned to sibling work packages or unrelated technical implementation.,30027,,,,,,,,,,,,,,PM-PLN-WBS,Execution pattern: Setup. This work package closes when its child item is accepted.,,,Deliver the controlled work required to establish wbs method and environment.,0|i00093:,,"Jira configuration, successful import evidence and WBS operating guidance.",Parent-deliverable requirements and any prerequisite outputs identified by the executable task.,A functioning Jira WBS environment with documented operating rules.,Low,"Includes the executable item: Configure Jira fields, views and WBS rules.",,,,,,,,,,,,PM-PLN-WBS-01,,,,10273,SS-255,Master Work Breakdown Structure,To Do,23/Jun/26 12:28 AM
Develop and Maintain Master WBS,SS-273,10291,Work Package,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,Deliver the controlled work required to develop and maintain master wbs.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,The child executable item satisfies its acceptance criteria and its evidence is reviewed.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,Medium,Weekly,,,,,,,Defined,,,,{},,,,,Work assigned to sibling work packages or unrelated technical implementation.,30028,,,,,,,,,,,,,,PM-PLN-WBS,Execution pattern: Recurring. This work package closes when its child item is accepted.,,,Deliver the controlled work required to develop and maintain master wbs.,0|i0009b:,,"Updated Jira hierarchy, change records and periodic WBS review notes.",Parent-deliverable requirements and any prerequisite outputs identified by the executable task.,An up-to-date master WBS covering the complete programme.,Medium,"Includes the executable item: Decompose, review and maintain the total project scope.",,,,,,,,,,,,PM-PLN-WBS-02,,,,10273,SS-255,Master Work Breakdown Structure,To Do,23/Jun/26 12:28 AM
Establish Schedule Baseline,SS-274,10292,Work Package,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,Deliver the controlled work required to establish schedule baseline.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,The child executable item satisfies its acceptance criteria and its evidence is reviewed.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,,{},,,,,Work assigned to sibling work packages or unrelated technical implementation.,30029,,,,,,,,,,,,,,PM-PLN-SCH,Execution pattern: Setup. This work package closes when its child item is accepted.,,,Deliver the controlled work required to establish schedule baseline.,0|i0009j:,,"Baseline schedule, dependency review and recorded scheduling assumptions.",Parent-deliverable requirements and any prerequisite outputs identified by the executable task.,An integrated baseline schedule with milestones and dependency logic.,Medium,"Includes the executable item: Define calendars, estimates, milestones and dependencies.",,,,,,,,,,,,PM-PLN-SCH-01,,,,10274,SS-256,Integrated Project Schedule,To Do,23/Jun/26 12:28 AM
Maintain Schedule and Forecast,SS-275,10293,Work Package,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,Deliver the controlled work required to maintain schedule and forecast.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,The child executable item satisfies its acceptance criteria and its evidence is reviewed.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,Medium,Weekly,,,,,,,Defined,,,,{},,,,,Work assigned to sibling work packages or unrelated technical implementation.,30030,,,,,,,,,,,,,,PM-PLN-SCH,Execution pattern: Recurring. This work package closes when its child item is accepted.,,,Deliver the controlled work required to maintain schedule and forecast.,0|i0009r:,,"Updated schedule, variance notes and approved change records.",Parent-deliverable requirements and any prerequisite outputs identified by the executable task.,A current schedule forecast and traceable record of approved baseline changes.,Medium,"Includes the executable item: Update progress, forecast dates and approved baseline changes.",,,,,,,,,,,,PM-PLN-SCH-02,,,,10274,SS-256,Integrated Project Schedule,To Do,23/Jun/26 12:28 AM
Establish Planning Cadence,SS-276,10294,Work Package,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,Deliver the controlled work required to establish planning cadence.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,The child executable item satisfies its acceptance criteria and its evidence is reviewed.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,,{},,,,,Work assigned to sibling work packages or unrelated technical implementation.,30031,,,,,,,,,,,,,,PM-PLN-RWP,Execution pattern: Setup. This work package closes when its child item is accepted.,,,Deliver the controlled work required to establish planning cadence.,0|i0009z:,,Rolling-wave planning rules and one reviewed refinement example.,Parent-deliverable requirements and any prerequisite outputs identified by the executable task.,A documented rolling-wave planning method.,Low,Includes the executable item: Define planning horizon and refinement criteria.,,,,,,,,,,,,PM-PLN-RWP-01,,,,10275,SS-257,Rolling-Wave Planning,To Do,23/Jun/26 12:28 AM
